Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10051,2024-01-12,Books,Kindle Paperwhite,1,60.62,60.62,Asia,Debit Card
10052,2024-07-28,Books,Bose SoundLink Color Bluetooth Speaker II,2,803.46,1606.92,North America,Credit Card
10053,2024-05-21,Beauty Products,Lululemon Align Leggings,3,41.14,123.42,Asia,PayPal
10054,2024-07-04,Electronics,Under Armour HOVR Sonic 4 Shoes,1,47.63,47.63,Europe,Credit Card
10055,2024-05-20,Books,Hamilton Beach FlexBrew Coffee Maker,3,36.45,109.35000000000001,Asia,Debit Card
10056,2024-04-16,Books,Hamilton Beach FlexBrew Coffee Maker,3,73.04,219.12,Europe,Credit Card
10057,2024-03-03,Books,Anker PowerCore Portable Charger,3,6.87,20.61,Europe,Debit Card
10058,2024-05-03,Electronics,Garmin Forerunner 245,1,1141.62,1141.62,Asia,Debit Card
10059,2024-06-08,Sports,La Mer Crème de la Mer Moisturizer,2,482.36,964.72,Europe,Credit Card
10060,2024-04-06,Clothing,L'Oreal Revitalift Serum,2,117.63,235.26,North America,Credit Card
10061,2024-02-11,Beauty Products,"Salt, Fat, Acid, Heat by Samin Nosrat",2,27.16,54.32,Asia,Debit Card
10062,2024-03-16,Sports,The Silent Patient by Alex Michaelides,2,42.18,84.36,North America,Credit Card
10063,2024-05-10,Sports,Sonos Beam Soundbar,3,6.51,19.53,Europe,Credit Card
10064,2024-07-18,Home Appliances,The Girl with the Dragon Tattoo by Stieg Larsson,2,10.99,21.98,North America,PayPal
10065,2024-08-11,Sports,Fresh Sugar Lip Treatment,3,41.58,124.74,Asia,PayPal
10066,2024-01-23,Electronics,Chanel No. 5 Perfume,1,33.51,33.51,Europe,Credit Card
10067,2024-01-06,Clothing,Dune by Frank Herbert,3,19.83,59.489999999999995,North America,Credit Card
10068,2024-05-31,Clothing,The Sun Also Rises by Ernest Hemingway,5,127.89,639.45,Europe,PayPal
10069,2024-03-17,Beauty Products,Yeti Roadie 24 Cooler,2,714.25,1428.5,Europe,Credit Card
10070,2024-05-08,Home Appliances,Fitbit Versa 3,1,13.99,13.99,Europe,PayPal
10071,2024-07-28,Sports,Polar Vantage V2,4,88.39,353.56,Europe,Credit Card
10072,2024-04-21,Books,On Running Cloud Shoes,3,13.95,41.849999999999994,Europe,PayPal
10073,2024-01-11,Home Appliances,L'Oreal Revitalift Serum,1,599.45,599.45,North America,Credit Card
10074,2024-01-08,Sports,Blueair Classic 480i,1,24.55,24.55,Asia,Credit Card
10075,2024-08-05,Books,Adidas Originals Trefoil Hoodie,1,349.25,349.25,Asia,Credit Card
10076,2024-06-12,Books,Google Pixel 6 Pro,2,8.0,16.0,Europe,PayPal
10077,2024-08-04,Sports,Tarte Shape Tape Concealer,3,10.04,30.119999999999997,North America,Credit Card
10078,2024-02-11,Sports,Apple Watch Series 8,1,39.26,39.26,Europe,PayPal
10079,2024-05-04,Books,Hamilton Beach FlexBrew Coffee Maker,2,90.41,180.82,Europe,Credit Card
10080,2024-02-18,Clothing,1984 by George Orwell,1,91.62,91.62,Asia,PayPal
10081,2024-08-24,Sports,Nike Air Force 1 Sneakers,2,150.39,300.78,Europe,Credit Card
10082,2024-06-05,Beauty Products,Crock-Pot 6-Quart Slow Cooker,3,285.79,857.3700000000001,North America,Credit Card
10083,2024-02-02,Beauty Products,1984 by George Orwell,3,408.09,1224.27,Asia,PayPal
10084,2024-05-22,Sports,Ring Video Doorbell,1,23.32,23.32,Asia,Credit Card
10085,2024-02-01,Electronics,Ninja Professional Blender,1,167.74,167.74,North America,PayPal
10086,2024-07-09,Home Appliances,Amazon Echo Dot (4th Gen),6,79.08,474.48,Asia,PayPal
10087,2024-06-13,Books,Samsung Odyssey G9 Gaming Monitor,3,292.79,878.3700000000001,Europe,Credit Card
10088,2024-03-16,Books,Apple AirPods Pro,3,509.98,1529.94,Asia,Credit Card
10089,2024-01-07,Beauty Products,Babolat Pure Drive Tennis Racket,3,307.17,921.51,North America,Credit Card
10090,2024-01-23,Sports,Roomba i7+,2,852.12,1704.24,North America,Credit Card
10091,2024-05-17,Sports,Nike Dri-FIT Training Shorts,1,209.19,209.19,Asia,Credit Card
10092,2024-07-02,Home Appliances,Anova Precision Cooker,3,153.92,461.76,Asia,PayPal
10093,2024-02-08,Books,Where the Crawdads Sing by Delia Owens,2,89.85,179.7,Asia,Credit Card
10094,2024-04-15,Electronics,Garmin Fenix 6X Pro,3,24.8,74.4,North America,Credit Card
10095,2024-05-21,Home Appliances,Microsoft Surface Laptop 4,3,349.8,1049.4,Europe,Debit Card
10096,2024-01-14,Clothing,Dune by Frank Herbert,4,234.89,939.56,Asia,PayPal
10097,2024-05-20,Clothing,Sonos Beam Soundbar,2,163.9,327.8,North America,PayPal
10098,2024-05-17,Electronics,Nike Sportswear Club Fleece Hoodie,1,506.06,506.06,Europe,PayPal
10099,2024-07-04,Sports,Samsung Odyssey G9 Gaming Monitor,1,44.79,44.79,Europe,PayPal
10100,2024-06-23,Electronics,Philips Sonicare DiamondClean Toothbrush,1,1596.31,1596.31,North America,PayPal
10101,2024-04-02,Beauty Products,Canon EOS R5 Camera,1,46.97,46.97,Europe,Debit Card
10102,2024-07-17,Books,TRX All-in-One Suspension Training System,2,20.48,40.96,Asia,Debit Card
10103,2024-06-23,Sports,Uniqlo Airism Mesh Boxer Briefs,1,30.17,30.17,Asia,Debit Card
10104,2024-02-04,Sports,Garmin Fenix 6X Pro,2,193.61,387.22,Asia,Credit Card
10105,2024-02-04,Beauty Products,Philips Airfryer XXL,4,22.25,89.0,North America,Credit Card
10106,2024-08-08,Home Appliances,Fitbit Luxe,6,35.77,214.62,Europe,Credit Card
10107,2024-02-23,Clothing,Apple Watch Series 8,2,76.89,153.78,Asia,Debit Card
10108,2024-06-26,Home Appliances,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,33.04,33.04,North America,Credit Card
10109,2024-06-23,Sports,iRobot Braava Jet M6,3,236.22,708.66,Asia,Credit Card
10110,2024-02-19,Clothing,Bose QuietComfort 35 Headphones,1,10.86,10.86,Europe,PayPal
10111,2024-07-15,Electronics,Crock-Pot 6-Quart Slow Cooker,2,165.98,331.96,North America,Credit Card
10112,2024-07-20,Sports,Laneige Water Sleeping Mask,3,411.47,1234.41,Asia,Credit Card
10113,2024-05-30,Beauty Products,Garmin Forerunner 245,2,410.27,820.54,Asia,PayPal
10114,2024-04-08,Beauty Products,Nintendo Switch,1,24.21,24.21,Asia,PayPal
10115,2024-03-05,Electronics,Old Navy Relaxed-Fit T-Shirt,2,346.33,692.66,Europe,Credit Card
10116,2024-08-26,Beauty Products,Sunday Riley Luna Sleeping Night Oil,2,173.82,347.64,Europe,Debit Card
10117,2024-05-07,Beauty Products,Samsung QLED 4K TV,3,7.11,21.330000000000002,Europe,Debit Card
10118,2024-06-23,Clothing,Glossier Cloud Paint,3,382.85,1148.5500000000002,Europe,Debit Card
10119,2024-02-08,Clothing,Yeti Rambler Tumbler,3,109.12,327.36,Asia,Debit Card
10120,2024-01-19,Books,Apple Watch Series 8,1,13.76,13.76,Europe,PayPal
10121,2024-04-22,Sports,Adidas Originals Superstar Sneakers,2,74.06,148.12,Asia,PayPal
10122,2024-08-19,Beauty Products,Sunday Riley Luna Sleeping Night Oil,2,201.56,403.12,Europe,Credit Card
10123,2024-01-04,Books,The Da Vinci Code,3,56.13,168.39000000000001,Asia,PayPal
10124,2024-01-07,Books,The Da Vinci Code,2,17.78,35.56,Europe,PayPal
10125,2024-07-02,Electronics,Yeti Roadie 24 Cooler,3,187.88,563.64,North America,Credit Card
10126,2024-08-02,Books,Gap 1969 Original Fit Jeans,3,20.24,60.72,North America,Credit Card
10127,2024-08-20,Beauty Products,Google Nest Wifi Router,1,13.34,13.34,North America,PayPal
10128,2024-06-27,Beauty Products,Shark IQ Robot Vacuum,1,658.47,658.47,Asia,Credit Card
10129,2024-01-03,Clothing,Levi's 501 Jeans,1,28.49,28.49,North America,Credit Card
10130,2024-08-09,Sports,The Nightingale by Kristin Hannah,1,60.11,60.11,Asia,PayPal
10131,2024-02-18,Electronics,HP Spectre x360 Laptop,1,295.97,295.97,North America,PayPal
10132,2024-06-05,Clothing,Hamilton Beach FlexBrew Coffee Maker,6,77.37,464.22,North America,Credit Card
10133,2024-07-28,Home Appliances,Gap 1969 Original Fit Jeans,1,243.34,243.34,Asia,PayPal
10134,2024-01-23,Home Appliances,"Salt, Fat, Acid, Heat by Samin Nosrat",1,260.48,260.48,North America,Credit Card
10135,2024-01-14,Clothing,"Salt, Fat, Acid, Heat by Samin Nosrat",1,552.28,552.28,North America,Credit Card
10136,2024-03-30,Home Appliances,Uniqlo Ultra Light Down Jacket,2,1283.43,2566.86,Asia,Credit Card
10137,2024-03-22,Electronics,YETI Hopper Flip Portable Cooler,2,650.46,1300.92,Europe,PayPal
10138,2024-05-21,Clothing,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,469.41,469.41,Asia,Debit Card
10139,2024-07-19,Electronics,La Mer Crème de la Mer Moisturizer,1,492.24,492.24,North America,Credit Card
10140,2024-07-27,Beauty Products,Atomic Habits by James Clear,3,36.81,110.43,Europe,Credit Card
10141,2024-05-02,Home Appliances,The Ordinary Niacinamide Serum,2,299.39,598.78,Europe,Credit Card
10142,2024-02-08,Clothing,Breville Smart Oven,1,230.0,230.0,Europe,Credit Card
10143,2024-01-28,Books,L'Oreal Revitalift Serum,2,119.8,239.6,North America,PayPal
10144,2024-05-26,Home Appliances,Clinique Dramatically Different Moisturizing Lotion,1,34.56,34.56,Asia,Credit Card
10145,2024-05-31,Sports,Cuisinart Coffee Center,6,7.01,42.06,Asia,Credit Card
10146,2024-01-28,Sports,Adidas Ultraboost Shoes,2,103.64,207.28,Asia,PayPal
10147,2024-05-09,Clothing,Apple MacBook Air,5,171.5,857.5,Asia,Credit Card
10148,2024-05-25,Home Appliances,The Power of Habit by Charles Duhigg,1,444.58,444.58,Europe,Credit Card
10149,2024-04-17,Books,Hanes ComfortSoft T-Shirt,1,59.73,59.73,North America,Credit Card
10150,2024-08-09,Sports,Gap 1969 Original Fit Jeans,1,14.96,14.96,North America,Credit Card
10151,2024-01-04,Clothing,Neutrogena Skincare Set,5,19.02,95.1,North America,Credit Card
10152,2024-08-10,Electronics,Bose SoundLink Color Bluetooth Speaker II,6,827.73,4966.38,Europe,Debit Card
10153,2024-04-07,Sports,Fitbit Versa 3,1,184.63,184.63,Asia,PayPal
10154,2024-08-10,Books,Nespresso Vertuo Next Coffee and Espresso Maker,3,99.73,299.19,Europe,PayPal
10155,2024-01-24,Clothing,Chanel No. 5 Perfume,4,168.12,672.48,North America,Credit Card
10156,2024-03-22,Electronics,Hyperice Hypervolt Massager,3,61.97,185.91,Europe,PayPal
10157,2024-06-19,Books,Cuisinart Coffee Center,2,1076.53,2153.06,Europe,Credit Card
10158,2024-06-27,Electronics,Yeti Tundra Haul Portable Wheeled Cooler,4,320.58,1282.32,North America,Credit Card
10159,2024-06-20,Beauty Products,Oakley Holbrook Sunglasses,3,34.87,104.60999999999999,Asia,Credit Card
10160,2024-07-22,Sports,Levi's 511 Slim Fit Jeans,3,6.91,20.73,Asia,PayPal
10161,2024-06-25,Home Appliances,Yeti Rambler Bottle,4,38.46,153.84,Europe,Credit Card
10162,2024-01-04,Sports,MacBook Pro 16-inch,2,47.41,94.82,Europe,Credit Card
10163,2024-06-29,Electronics,Nike Tempo Running Shorts,1,269.63,269.63,North America,Credit Card
10164,2024-07-29,Home Appliances,Uniqlo Airism Seamless Boxer Briefs,3,78.8,236.39999999999998,Europe,PayPal
10165,2024-01-19,Electronics,Samsung Galaxy Tab S8,3,839.68,2519.04,North America,PayPal
10166,2024-08-21,Clothing,Sunday Riley Luna Sleeping Night Oil,1,14.77,14.77,Europe,PayPal
10167,2024-05-03,Electronics,Ninja Foodi Pressure Cooker,2,446.55,893.1,North America,Credit Card
10168,2024-02-23,Clothing,Breville Smart Oven,1,33.77,33.77,Asia,PayPal
10169,2024-05-09,Home Appliances,Gap Crewneck Sweatshirt,3,478.12,1434.3600000000001,Asia,Credit Card
10170,2024-08-03,Clothing,Tarte Shape Tape Concealer,1,593.97,593.97,Europe,Credit Card
10171,2024-02-22,Sports,The Alchemist by Paulo Coelho,3,7.12,21.36,Europe,Credit Card
10172,2024-05-29,Beauty Products,HP Spectre x360 Laptop,1,37.96,37.96,North America,Credit Card
10173,2024-04-09,Beauty Products,Under Armour Tech 2.0 T-Shirt,2,6.62,13.24,North America,Credit Card
10174,2024-05-25,Home Appliances,The Hunger Games by Suzanne Collins,1,20.46,20.46,North America,Credit Card
10175,2024-01-02,Books,Wilson Evolution Basketball,2,1615.1,3230.2,Europe,Credit Card
10176,2024-01-21,Beauty Products,Shiseido Ultimate Sun Protector,3,21.41,64.23,Asia,Credit Card
10177,2024-03-19,Sports,Vitamix Explorian Blender,4,8.02,32.08,Asia,PayPal
10178,2024-08-12,Clothing,Dyson V8 Absolute,6,6.55,39.3,Europe,Credit Card
10179,2024-07-04,Home Appliances,Caudalie Vinoperfect Radiance Serum,3,77.35,232.04999999999998,North America,Credit Card
10180,2024-02-11,Electronics,Yeti Rambler Tumbler,2,324.72,649.44,North America,Credit Card
10181,2024-04-12,Sports,Fitbit Inspire 2,1,16.53,16.53,Europe,PayPal
10182,2024-04-04,Books,Calvin Klein Boxer Briefs,1,59.09,59.09,Asia,Credit Card
10183,2024-02-25,Clothing,The Hobbit by J.R.R. Tolkien,2,381.04,762.08,North America,PayPal
10184,2024-08-07,Beauty Products,Bose SoundLink Color Bluetooth Speaker II,3,9.95,29.849999999999998,Europe,PayPal
10185,2024-06-01,Books,Shark IQ Robot Vacuum,1,39.29,39.29,Europe,Credit Card
10186,2024-04-18,Clothing,Amazon Echo Show 10,1,298.66,298.66,Europe,PayPal
10187,2024-03-16,Clothing,The Hobbit by J.R.R. Tolkien,4,58.8,235.2,Asia,Debit Card
10188,2024-05-02,Beauty Products,Microsoft Surface Laptop 4,2,62.04,124.08,Europe,Credit Card
10189,2024-03-28,Clothing,The Hobbit by J.R.R. Tolkien,3,7.39,22.169999999999998,Europe,PayPal
10190,2024-01-18,Home Appliances,Hyperice Hypervolt Massager,1,314.96,314.96,Asia,Credit Card
10191,2024-05-10,Clothing,GoPro HERO9 Black,1,92.48,92.48,North America,Credit Card
10192,2024-06-29,Beauty Products,GoPro HERO9 Black,1,316.97,316.97,North America,Credit Card
10193,2024-01-24,Books,Dyson Supersonic Hair Dryer,1,290.66,290.66,Europe,Credit Card
10194,2024-05-15,Books,Laneige Water Sleeping Mask,1,20.32,20.32,Europe,Credit Card
10195,2024-04-26,Clothing,Forever 21 Graphic Tee,2,209.08,418.16,Asia,PayPal
10196,2024-08-10,Beauty Products,Nespresso Vertuo Next Coffee and Espresso Maker,2,45.13,90.26,Asia,Credit Card
10197,2024-05-30,Sports,Keurig K-Mini Coffee Maker,2,7.26,14.52,Asia,Credit Card
10198,2024-08-26,Clothing,Fresh Sugar Lip Treatment,2,27.32,54.64,North America,Credit Card
10199,2024-07-03,Beauty Products,Philips Sonicare DiamondClean Toothbrush,5,13.48,67.4,Asia,Credit Card
10200,2024-02-06,Electronics,Yeti Rambler Tumbler,4,18.61,74.44,Asia,Credit Card
10201,2024-04-01,Clothing,The Power of Now by Eckhart Tolle,3,111.21,333.63,North America,Credit Card
10202,2024-02-02,Beauty Products,Dune by Frank Herbert,3,542.15,1626.4499999999998,Europe,Credit Card
10203,2024-02-24,Clothing,Tommy Hilfiger Polo Shirt,3,6.58,19.740000000000002,Europe,Credit Card
10204,2024-01-12,Home Appliances,Ray-Ban Aviator Sunglasses,1,195.48,195.48,Europe,Credit Card
10205,2024-03-25,Home Appliances,Cuisinart Griddler Deluxe,3,278.18,834.54,Asia,Debit Card
10206,2024-02-05,Beauty Products,Zara Summer Dress,6,28.6,171.60000000000002,North America,Credit Card
10207,2024-04-21,Clothing,Microsoft Surface Laptop 4,2,47.77,95.54,North America,PayPal
10208,2024-02-01,Books,Yeti Rambler Tumbler,2,120.27,240.54,Europe,Credit Card
10209,2024-04-21,Books,Neutrogena Hydro Boost Water Gel,3,12.67,38.01,Asia,PayPal
10210,2024-08-21,Home Appliances,Nike Air Force 1 Sneakers,1,122.12,122.12,Europe,Debit Card
10211,2024-07-18,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,809.45,1618.9,North America,Credit Card
10212,2024-05-18,Home Appliances,Levi's Trucker Jacket,1,30.56,30.56,Europe,Credit Card
10213,2024-07-06,Sports,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,2,9.66,19.32,Asia,PayPal
10214,2024-04-05,Beauty Products,Dyson V8 Absolute,4,597.49,2389.96,Asia,Debit Card
10215,2024-05-19,Beauty Products,TRX All-in-One Suspension Training System,3,82.51,247.53000000000003,Asia,PayPal
10216,2024-08-22,Electronics,Philips Sonicare DiamondClean Toothbrush,1,1350.67,1350.67,North America,Credit Card
10217,2024-01-09,Sports,Pride and Prejudice by Jane Austen,3,356.39,1069.17,Asia,Credit Card
10218,2024-02-02,Home Appliances,The Great Gatsby by F. Scott Fitzgerald,1,9.32,9.32,Europe,Credit Card
10219,2024-03-30,Books,The Catcher in the Rye by J.D. Salinger,2,87.4,174.8,Asia,Debit Card
10220,2024-06-29,Electronics,Yeti Roadie 24 Cooler,1,460.92,460.92,Europe,PayPal
10221,2024-05-31,Electronics,Breville Smart Coffee Grinder Pro,1,334.83,334.83,Europe,PayPal
10222,2024-07-28,Electronics,Nike Tempo Running Shorts,4,72.28,289.12,North America,Credit Card
10223,2024-05-21,Beauty Products,Polar Vantage V2,2,11.49,22.98,North America,PayPal
10224,2024-05-12,Sports,TriggerPoint GRID Foam Roller,3,89.62,268.86,Asia,Credit Card
10225,2024-04-16,Beauty Products,The Girl on the Train by Paula Hawkins,1,25.28,25.28,Asia,Debit Card
10226,2024-03-28,Sports,Samsung QLED 4K TV,4,15.54,62.16,Europe,Credit Card
10227,2024-01-10,Home Appliances,Peloton Bike,1,647.39,647.39,Asia,Credit Card
10228,2024-08-17,Sports,Nespresso Vertuo Next Coffee and Espresso Maker,1,529.24,529.24,Europe,Credit Card
10229,2024-03-19,Sports,KitchenAid Artisan Stand Mixer,5,220.06,1100.3,Europe,Credit Card
10230,2024-05-18,Sports,Oakley Holbrook Sunglasses,3,78.67,236.01,Asia,Credit Card
10231,2024-06-09,Clothing,First Aid Beauty Ultra Repair Cream,3,83.11,249.32999999999998,North America,Credit Card
10232,2024-04-24,Home Appliances,The Catcher in the Rye by J.D. Salinger,1,143.61,143.61,Europe,Credit Card
10233,2024-03-18,Clothing,Patagonia Better Sweater,2,46.11,92.22,North America,PayPal
10234,2024-02-09,Home Appliances,Columbia Fleece Jacket,3,113.67,341.01,Asia,Credit Card
10235,2024-06-18,Home Appliances,Google Pixelbook Go,1,14.89,14.89,Europe,Debit Card
10236,2024-06-07,Home Appliances,Samsung Odyssey G9 Gaming Monitor,1,44.63,44.63,North America,PayPal
10237,2024-08-14,Books,Hydro Flask Standard Mouth Water Bottle,1,469.13,469.13,Europe,PayPal
10238,2024-06-10,Electronics,CeraVe Hydrating Facial Cleanser,3,507.39,1522.17,North America,Debit Card
10239,2024-03-29,Clothing,Nintendo Switch,1,6.85,6.85,North America,PayPal
10240,2024-05-12,Clothing,Gap Crewneck Sweatshirt,1,90.4,90.4,North America,Credit Card
10241,2024-03-19,Home Appliances,Educated by Tara Westover,6,156.13,936.78,North America,PayPal
10242,2024-04-21,Books,Puma Suede Classic Sneakers,3,375.09,1125.27,North America,PayPal
10243,2024-08-12,Sports,Nespresso Vertuo Next Coffee and Espresso Maker,1,55.32,55.32,Asia,Credit Card
10244,2024-06-07,Sports,Tatcha The Water Cream,1,87.26,87.26,Asia,PayPal
10245,2024-02-10,Clothing,Roomba i7+,1,374.96,374.96,Asia,PayPal
10246,2024-03-05,Books,Garmin Forerunner 945,4,25.72,102.88,Europe,Credit Card
10247,2024-05-02,Home Appliances,The Girl with the Dragon Tattoo by Stieg Larsson,1,404.21,404.21,North America,Debit Card
10248,2024-07-04,Sports,iRobot Braava Jet M6,2,166.91,333.82,Asia,PayPal
10249,2024-02-18,Books,Anastasia Beverly Hills Brow Wiz,3,643.78,1931.34,Europe,Credit Card
10250,2024-08-04,Beauty Products,Fitbit Luxe,2,29.68,59.36,Asia,Debit Card
10251,2024-02-27,Sports,To Kill a Mockingbird by Harper Lee,2,10.67,21.34,Europe,Credit Card
10252,2024-02-26,Home Appliances,Spalding NBA Street Basketball,1,575.91,575.91,Asia,PayPal
10253,2024-05-09,Clothing,The Hobbit by J.R.R. Tolkien,3,52.01,156.03,North America,Credit Card
10254,2024-01-25,Books,1984 by George Orwell,1,116.04,116.04,Europe,Credit Card
10255,2024-01-15,Beauty Products,Keurig K-Elite Coffee Maker,3,113.82,341.46,Asia,Debit Card
10256,2024-04-04,Home Appliances,Vitamix Explorian Blender,1,131.61,131.61,Europe,PayPal
10257,2024-03-17,Electronics,Garmin Forerunner 945,1,137.99,137.99,Asia,Debit Card
10258,2024-08-11,Books,The Martian by Andy Weir,5,6.51,32.55,Europe,Credit Card
10259,2024-08-26,Beauty Products,Sunday Riley Luna Sleeping Night Oil,3,12.17,36.51,Asia,Debit Card
10260,2024-06-10,Clothing,Adidas Originals Superstar Sneakers,3,130.77,392.31000000000006,Europe,Credit Card
10261,2024-05-31,Books,Youth to the People Superfood Antioxidant Cleanser,3,14.29,42.87,Europe,Credit Card
10262,2024-06-11,Clothing,Fitbit Versa 3,2,12.67,25.34,Europe,Credit Card
10263,2024-01-27,Electronics,Bose QuietComfort 35 Headphones,1,187.37,187.37,North America,PayPal
10264,2024-08-17,Electronics,Fresh Sugar Lip Treatment,2,161.53,323.06,Europe,Debit Card
10265,2024-01-06,Clothing,The Da Vinci Code,1,16.03,16.03,Europe,PayPal
10266,2024-07-07,Books,Nike Dri-FIT Training Shorts,3,10.18,30.54,North America,PayPal
10267,2024-01-27,Sports,Garmin Forerunner 945,1,42.78,42.78,Asia,PayPal
10268,2024-07-28,Electronics,Lululemon Wunder Under High-Rise Leggings,3,92.44,277.32,North America,Credit Card
10269,2024-01-20,Electronics,"Salt, Fat, Acid, Heat by Samin Nosrat",4,491.31,1965.24,Europe,Credit Card
10270,2024-01-02,Clothing,iPhone 14 Pro,3,182.96,548.88,North America,Credit Card
